,number_of_vehicle_parked,power_demand
2017-07-28 04:32:00,17647.0,0.0
2017-07-28 04:33:00,17645.0,0.0
2017-07-28 04:34:00,17647.0,0.0
2017-07-28 04:35:00,17644.0,0.0
2017-07-28 04:36:00,17643.0,0.0
2017-07-28 04:37:00,17642.0,0.0
2017-07-28 04:38:00,17642.0,0.0
2017-07-28 04:39:00,17646.0,0.0
2017-07-28 04:40:00,17642.0,0.0
2017-07-28 04:41:00,17646.0,0.0
2017-07-28 04:42:00,17646.0,0.0
2017-07-28 04:43:00,17647.0,0.0
2017-07-28 04:44:00,17647.0,0.0
2017-07-28 04:45:00,17625.0,0.0
2017-07-28 04:46:00,17625.0,0.0
2017-07-28 04:47:00,17625.0,0.0
2017-07-28 04:48:00,17626.0,0.0
2017-07-28 04:49:00,17626.0,0.0
2017-07-28 04:50:00,17633.0,0.0
2017-07-28 04:51:00,17633.0,0.0
2017-07-28 04:52:00,17638.0,0.0
2017-07-28 04:53:00,17638.0,0.0
2017-07-28 04:54:00,17638.0,0.0
2017-07-28 04:55:00,17652.0,0.0
2017-07-28 04:56:00,17653.0,0.0
2017-07-28 04:57:00,17654.0,0.0
2017-07-28 04:58:00,17655.0,0.0
2017-07-28 04:59:00,17655.0,0.0
2017-07-28 05:00:00,17540.0,0.0
2017-07-28 05:01:00,17539.0,0.0
2017-07-28 05:02:00,17538.0,0.0
2017-07-28 05:03:00,17538.0,0.0
2017-07-28 05:04:00,17540.0,0.0
2017-07-28 05:05:00,17548.0,0.0
2017-07-28 05:06:00,17550.0,0.0
2017-07-28 05:07:00,17550.0,0.0
2017-07-28 05:08:00,17551.0,0.0
2017-07-28 05:09:00,17553.0,0.0
2017-07-28 05:10:00,17546.0,0.0
2017-07-28 05:11:00,17546.0,0.0
2017-07-28 05:12:00,17546.0,0.0
2017-07-28 05:13:00,17546.0,0.0
2017-07-28 05:14:00,17547.0,0.0
2017-07-28 05:15:00,17498.0,0.0
2017-07-28 05:16:00,17499.0,0.0
2017-07-28 05:17:00,17500.0,0.0
2017-07-28 05:18:00,17500.0,0.0
2017-07-28 05:19:00,17500.0,0.0
2017-07-28 05:20:00,17483.0,0.0
2017-07-28 05:21:00,17481.0,0.0
