1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
30,28005312.86,29026190.23,29281409.58,14335534.28,15356411.66,15611631,17937743.46,18958620.84,19213840.18,19599899.13,20620776.5,20860950.08,,,,28005312.86,29026190.23,29281409.58,14335534.28,15356411.66,15611631,17937743.46,18958620.84,19203757.9,19599899.13,20620776.5,20612747.38
31,27860102.38,28880979.76,29136199.1,14232913.6,15253790.98,15509010.32,17885428,18906305.38,19161524.72,19352798.96,20373676.34,20628895.68,,,,27860102.38,28880979.76,29136199.1,14232913.6,15253790.98,15509010.32,17885428,18906305.38,19161524.72,19352798.96,20373676.34,20447616.6
32,27896389.57,28917266.94,29172486.29,14130148.91,15151026.29,15406245.63,17843895.21,18864772.58,19119017.15,19115285.75,20136163.13,20384654.97,,,,27896389.57,28917266.94,29172486.29,14130148.91,15151026.29,15406245.63,17843895.21,18864772.58,19114456.32,19115285.75,20136163.13,20271853.19
33,27723091.37,28743968.75,28999188.09,13924307.16,14945184.54,15200403.88,17778846.68,18799724.06,19054943.4,18842266.4,19863143.78,20118363.12,,,,27723091.37,28743968.75,28999188.09,13924307.16,14945184.54,15200403.88,17778846.68,18799724.06,19054943.4,18842266.4,19863143.78,20085457.15
34,27657964.29,28678841.66,28934061.01,13794049.59,14814926.97,15070146.31,17802532.6,18823409.98,19060061.23,18612331.75,19633209.12,19888428.47,,,,27657964.29,28678841.66,28934061.01,13794049.59,14814926.97,15070146.31,17802532.6,18823409.98,19046378.73,18612331.75,19633209.12,19888428.47
35,27611004.99,28631882.36,28887101.71,13660830.89,14681708.26,14936927.61,17779955.76,18800833.14,19043612.88,18414790.12,19435667.5,19690886.84,,,,27611004.99,28631882.36,28887101.71,13660830.89,14681708.26,14936927.61,17779955.76,18800833.14,19025369.54,18414790.12,19435667.5,19690886.84
36,27474429.54,28495306.91,28750526.26,13555813.35,14576690.73,14831910.07,17750245.02,18771122.4,19005598.34,18303234.49,19324111.86,19557916.85,,,,27474429.54,28495306.91,28750526.26,13555813.35,14576690.73,14831910.07,17750245.02,18771122.4,18991915.84,18303234.49,19324111.86,19552207.6
37,27352994.77,28373872.14,28629091.49,13442951.52,14463828.89,14719048.24,17669920.91,18690798.28,18946017.63,18126799,19147676.38,19402895.72,,,,27352994.77,28373872.14,28629091.49,13442951.52,14463828.89,14719048.24,17669920.91,18690798.28,18946017.63,18126799,19147676.38,19402895.72
38,27307186.68,28328064.06,28583283.4,13418323.38,14439200.76,14694420.1,17644813.41,18665690.79,18920910.13,17995343.99,19016221.37,19251521.36,,,,27307186.68,28328064.06,28583283.4,13418323.38,14439200.76,14694420.1,17644813.41,18665690.79,18920910.13,17995343.99,19016221.37,19245812.1
39,27195900.19,28216777.57,28471996.91,13295853.71,14316731.09,14571950.43,17662632.8,18683510.18,18902910.23,17801999.14,18822876.51,19078095.86,,,,27195900.19,28216777.57,28471996.91,13295853.71,14316731.09,14571950.43,17662632.8,18683510.18,18898349.4,17801999.14,18822876.51,19078095.86
