1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
40,17459884.86,18480762.23,18991200.92,18735981.57,18991200.92,18735981.57,,,18004352.79,18276586.76,18140469.77,18276586.76,18276586.76,,,17596001.84,17664060.33,17630031.08,17664060.33,17630031.08
41,17477401.91,18498279.28,19008717.97,18753498.63,19008717.97,18753498.63,,,18021869.84,18294103.81,18157986.83,18294103.81,18294103.81,,,17613518.89,17681577.38,17647548.14,17681577.38,17647548.14
42,17485784.52,18506661.9,19017100.59,18761881.24,19017100.59,18761881.24,,,18030252.46,18302486.42,18166369.44,18302486.42,18302486.42,,,17621901.51,17689960,17655930.75,17689960,17655930.75
43,17414853.31,18435730.69,18946169.37,18690950.03,18946169.37,18690950.03,,,17959321.24,18231555.21,18095438.23,18231555.21,18231555.21,,,17550970.29,17619028.79,17584999.54,17619028.79,17584999.54
44,17517613.66,18538491.04,19048929.73,18793710.38,19048929.73,18793710.38,,,18062081.6,18334315.56,18198198.58,18334315.56,18334315.56,,,17653730.65,17721789.14,17687759.89,17721789.14,17687759.89
45,17576285.88,18597163.26,19107601.95,18852382.6,19107601.95,18852382.6,,,18120753.82,18392987.78,18256870.8,18392987.78,18392987.78,,,17712402.87,17780461.36,17746432.11,17780461.36,17746432.11
46,17520382.87,18541260.25,19051698.94,18796479.59,19051698.94,18796479.59,,,18064850.81,18337084.77,18200967.79,18337084.77,18337084.77,,,17656499.86,17724558.35,17690529.1,17724558.35,17690529.1
47,17480446.36,18501323.73,19011762.42,18756543.08,19011762.42,18756543.08,,,18024914.29,18297148.26,18161031.27,18297148.26,18297148.26,,,17616563.34,17684621.83,17650592.59,17684621.83,17650592.59
48,17522972,18543849.37,19054288.06,18799068.72,19054288.06,18799068.72,,,18067439.93,18339673.9,18203556.91,18339673.9,18339673.9,,,17659088.98,17727147.47,17693118.23,17727147.47,17693118.23
49,17465673.02,18486550.39,18996989.08,18741769.74,18996989.08,18741769.74,,,18010140.95,18282374.92,18146257.94,18282374.92,18282374.92,,,17601790,17669848.49,17635819.25,17669848.49,17635819.25
50,17374353.67,18395231.04,18905669.73,18650450.39,18905669.73,18650450.39,,,17918821.6,18191055.57,18054938.58,18191055.57,18191055.57,,,17510470.65,17578529.14,17544499.9,17578529.14,17544499.9
51,17349829.1,18370706.47,18881145.16,18625925.82,18881145.16,18625925.82,,,17894297.03,18166531,18030414.01,18166531,18166531,,,17485946.08,17554004.57,17519975.33,17554004.57,17519975.33
52,17345142.27,18366019.65,18876458.34,18621238.99,18876458.34,18621238.99,,,17889610.21,18161844.17,18025727.19,18161844.17,18161844.17,,,17481259.26,17549317.75,17515288.5,17549317.75,17515288.5
53,17305210.38,18326087.75,18836526.44,18581307.1,18836526.44,18581307.1,,,17849678.31,18121912.28,17985795.29,18121912.28,18121912.28,,,17441327.36,17509385.85,17475356.61,17509385.85,17475356.61
54,17294793.22,18315670.6,18826109.29,18570889.94,18826109.29,18570889.94,,,17839261.16,18111495.12,17975378.14,18111495.12,18111495.12,,,17430910.21,17498968.7,17464939.45,17498968.7,17464939.45
55,17359868.16,18380745.54,18891184.23,18635964.88,18891184.23,18635964.88,,,17904336.1,18176570.06,18040453.08,18176570.06,18176570.06,,,17495985.15,17564043.64,17530014.39,17564043.64,17530014.39
56,17392249.29,18413126.67,18923565.35,18668346.01,18923565.35,18668346.01,,,17936717.22,18208951.19,18072834.21,18208951.19,18208951.19,,,17528366.27,17596424.77,17562395.52,17596424.77,17562395.52
57,17368076.33,18388953.71,18899392.4,18644173.05,18899392.4,18644173.05,,,17912544.27,18184778.23,18048661.25,18184778.23,18184778.23,,,17504193.32,17572251.81,17538222.56,17572251.81,17538222.56
58,17464173.71,18485051.09,18995489.78,18740270.43,18995489.78,18740270.43,,,18008641.65,18280875.61,18144758.63,18280875.61,18280875.61,,,17600290.7,17668349.19,17634319.94,17668349.19,17634319.94
59,17448612.3,18469489.67,18979928.36,18724709.02,18979928.36,18724709.02,,,17993080.23,18265314.2,18129197.21,18265314.2,18265314.2,,,17584729.28,17652787.77,17618758.53,17652787.77,17618758.53
60,17543814.03,18564691.41,19075130.1,18819910.75,19075130.1,18819910.75,,,18088281.97,18360515.93,18224398.95,18360515.93,18360515.93,,,17679931.02,17747989.51,17713960.26,17747989.51,17713960.26
61,17454660.66,18475538.04,18985976.73,18730757.38,18985976.73,18730757.38,,,17999128.6,18271362.56,18135245.58,18271362.56,18271362.56,,,17590777.65,17658836.14,17624806.89,17658836.14,17624806.89
