1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
258,33687290.8,34708168.17,32155974.73,33310407.14,33687290.8,33687290.8,,,34231758.73,32870588.9,33414651.89,33687290.8,33687290.8,,,33823407.78,33483115.32,33517144.57,33687290.8,33687290.8
259,33572015.44,34592892.82,32040699.38,33310407.14,33572015.44,33572015.44,,,34116483.37,32755313.54,33414651.89,33572015.44,33572015.44,,,33708132.42,33367839.97,33445325.1,33572015.44,33572015.44
260,33311631.11,34332508.48,31978926.44,33310407.14,33311631.11,33311631.11,,,33856099.04,32494929.21,33414651.89,33311631.11,33311631.11,,,33447748.09,33107455.63,33445325.1,33311631.11,33311631.11
261,33161504.66,34182382.04,31978926.44,33310407.14,33161504.66,33161504.66,,,33705972.6,32344802.76,33414651.89,33161504.66,33161504.66,,,33297621.65,32957329.19,33331650.89,33161504.66,33161504.66
262,32931352,33952229.37,31978926.44,33310407.14,32931352,32931352,,,33475819.93,32190477.42,33414651.89,32931352,32931352,,,33067468.98,32727176.52,33101498.23,32931352,32931352
263,32659274.55,33680151.93,31978926.44,33310407.14,32659274.55,32659274.55,,,33203742.49,32190477.42,33339859.47,32659274.55,32659274.55,,,32795391.54,32455099.08,32829420.78,32659274.55,32659274.55
264,32325684.65,33346562.02,31978926.44,33310407.14,32325684.65,32325684.65,,,32870152.58,32190477.42,33006269.57,32325684.65,32325684.65,,,32461801.63,32218220.87,32495830.88,32325684.65,32325684.65
265,32069077.73,33089955.1,31978926.44,33310407.14,32069077.73,32069077.73,,,32613545.66,32190477.42,32749662.65,32069077.73,32069077.73,,,32205194.71,32218220.87,32239223.96,32069077.73,32069077.73
266,31553818.89,32574696.26,31978926.44,32829915.61,31553818.89,31553818.89,,,32098286.82,32190477.42,32234403.8,31553818.89,31553818.89,,,31689935.87,31757994.36,31723965.12,31553818.89,31553818.89
267,31105873.53,32126750.9,31978926.44,32381970.25,31105873.53,31105873.53,,,31650341.46,31922575.43,31786458.44,31105873.53,31105873.53,,,31241990.51,31310049,31276019.76,31105873.53,31105873.53
268,30600215.1,31621092.48,31978926.44,31876311.82,30600215.1,30740112.5,,,31144683.04,31416917,31280800.02,30600215.1,30600215.1,,,30736332.09,30804390.58,30770361.33,30600215.1,30600215.1
269,30107285.83,31128163.21,31638601.89,31383382.55,30107285.83,30740112.5,,,30651753.76,30923987.73,30787870.75,30107285.83,30107285.83,,,30243402.81,30311461.31,30277432.06,30107285.83,30175344.32
270,29666703.71,30687581.09,31198019.78,30942800.43,29666703.71,30740112.5,,,30211171.65,30483405.62,30347288.63,29666703.71,29666703.71,,,29802820.7,29870879.19,29836849.94,29666703.71,29836849.94
271,29218834.75,30239712.13,30750150.82,30494931.47,29218834.75,30494931.47,,,29763302.69,30035536.65,29899419.67,29218834.75,29218834.75,,,29354951.74,29423010.23,29388980.98,29218834.75,29388980.98
272,28698642.02,29719519.4,30229958.09,29974738.74,28698642.02,29974738.74,,,29243109.96,29515343.92,29379226.94,28698642.02,28698642.02,,,28834759.01,28902817.5,28868788.25,28698642.02,28868788.25
273,28231431.58,29252308.95,29762747.64,29507528.3,28231431.58,29507528.3,,,28775899.51,29048133.48,28912016.49,28231431.58,28231431.58,,,28367548.56,28435607.05,28401577.81,28231431.58,28401577.81
274,27732522.67,28753400.05,29263838.74,29008619.39,27732522.67,29008619.39,,,28276990.61,28549224.58,28413107.59,27732522.67,27732522.67,,,27868639.66,27936698.15,27902668.9,27732522.67,27902668.9
275,27243775.02,28264652.4,28775091.09,28519871.74,27243775.02,28519871.74,,,27788242.96,28060476.92,27924359.94,27243775.02,27243775.02,,,27379892.01,27447950.5,27413921.25,27243775.02,27413921.25
276,26994478.5,28015355.87,28525794.56,28270575.22,26994478.5,28270575.22,,,27538946.43,27811180.4,27675063.41,26994478.5,26994478.5,,,27130595.48,27198653.97,27164624.73,26994478.5,27164624.73
277,26429649.92,27450527.29,27960965.98,27705746.63,26429649.92,27705746.63,,,26974117.85,27246351.82,27110234.83,26429649.92,26429649.92,,,26565766.9,26633825.39,26599796.14,26429649.92,26599796.14
278,26026931.05,27047808.43,27558247.11,27303027.77,26026931.05,27303027.77,,,26571398.98,26843632.95,26707515.97,26026931.05,26026931.05,,,26163048.03,26231106.52,26197077.28,26026931.05,26197077.28
279,25676590.68,26697468.05,27207906.74,26952687.4,25676590.68,26952687.4,,,26221058.61,26493292.58,26357175.6,25676590.68,25676590.68,,,25812707.66,25880766.15,25846736.91,25676590.68,25846736.91
280,25307774.28,26328651.66,26839090.35,26583871,25307774.28,26583871,,,25852242.22,26124476.18,25988359.2,25307774.28,25307774.28,,,25443891.27,25511949.76,25477920.51,25307774.28,25477920.51
281,24977044.87,25997922.24,26508360.93,26253141.59,24977044.87,26253141.59,,,25521512.8,25793746.77,25657629.78,24977044.87,24977044.87,,,25113161.85,25181220.34,25147191.1,24977044.87,25147191.1
282,24601478.79,25622356.17,26132794.86,25877575.51,24601478.79,25877575.51,,,25145946.73,25418180.69,25282063.71,24601478.79,24601478.79,,,24737595.78,24805654.27,24771625.02,24601478.79,24771625.02
283,24354580.74,25375458.11,25885896.8,25630677.46,24354580.74,25630677.46,,,24899048.67,25171282.64,25035165.66,24354580.74,24354580.74,,,24490697.72,24558756.21,24524726.97,24354580.74,24524726.97
284,24183729.93,25204607.3,25715045.99,25459826.64,24183729.93,25459826.64,,,24728197.86,25000431.83,24864314.84,24183729.93,24183729.93,,,24319846.91,24387905.4,24353876.15,24183729.93,24353876.15
285,23886289.6,24907166.98,25417605.66,25162386.32,23886289.6,25162386.32,,,24430757.53,24702991.5,24566874.52,23886289.6,23886289.6,,,24022406.58,24090465.07,24056435.83,23886289.6,24056435.83
286,23688801.78,24709679.15,25220117.84,24964898.5,23688801.78,24964898.5,,,24233269.71,24505503.68,24369386.69,23688801.78,23688801.78,,,23824918.76,23892977.25,23858948.01,23688801.78,23858948.01
287,23534450.01,24555327.39,25065766.07,24810546.73,23534450.01,24810546.73,,,24078917.94,24351151.91,24215034.93,23534450.01,23534450.01,,,23670566.99,23738625.49,23704596.24,23534450.01,23704596.24
